source_id	raw_company_name	country	city	company_type	source_type	url_or_file	official_registration	description	notes
auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	Frigorífico Carrasco S.A.	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-carrasco-s-a-2/	INAC-3	Uruguay Meats exporter card No. 3: Frigorífico Carrasco S.A.	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-3
auto-uruguay-meats-exporters-breeders-and-packers-uruguay-1gvbtj6	Breeders & Packers Uruguay S.A	Uruguay		exporter	official_list	https://uymeats.com/product/breeders-packers-uruguay-s-a/	INAC-310	Uruguay Meats exporter card No. 310: Breeders & Packers Uruguay S.A	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-310
auto-uruguay-meats-exporters-frigorifico-pul-1mdn3d6	Frigorifico PUL S.A	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-pul-s-a/	INAC-7	Uruguay Meats exporter card No. 7: Frigorifico PUL S.A	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-7
auto-uruguay-meats-exporters-lorsinal-diundj	Lorsinal S.A	Uruguay		unknown	official_list	https://uymeats.com/product/lorsinal-s-a/	INAC-224	Uruguay Meats exporter card No. 224: Lorsinal S.A	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-224
auto-uruguay-meats-exporters-establecimiento-florida-halmon-qpo5mw	Establecimiento Florida – Halmon S.A	Uruguay		unknown	official_list	https://uymeats.com/product/halmon-s-a/	INAC-365	Uruguay Meats exporter card No. 365: Establecimiento Florida – Halmon S.A	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-365
auto-uruguay-meats-exporters-frigorifico-casa-blanca-v1g9n0	Frigorífico Casa Blanca S.A.	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-casa-blanca-s-a/	INAC-58	Uruguay Meats exporter card No. 58: Frigorífico Casa Blanca S.A.	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-58
auto-uruguay-meats-exporters-frigorifico-schneck-116t22a	FRIGORÍFICO Schneck	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-schneck/	INAC-52	Uruguay Meats exporter card No. 52: FRIGORÍFICO Schneck	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-52
auto-uruguay-meats-exporters-frigosalto-somicar-1dlw1hx	FRIGOSALTO – Somicar S.A.	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigosalto-somicar-s-a/	INAC-74	Uruguay Meats exporter card No. 74: FRIGOSALTO – Somicar S.A.	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-74
auto-uruguay-meats-exporters-frigoyi-bilacor-13x0g5r	Frigoyi – Bilacor S.A.	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigoyi-bilacor-s-a/	INAC-26	Uruguay Meats exporter card No. 26: Frigoyi – Bilacor S.A.	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-26
auto-uruguay-meats-exporters-frigorifico-rosario-rondatel-s0j27z	Frigorifico Rosario – Rondatel S.A.	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-rondatel/	INAC-22	Uruguay Meats exporter card No. 22: Frigorifico Rosario – Rondatel S.A.	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-22
auto-uruguay-meats-exporters-frigorifico-durazno-8pz936	Frigorífico durazno	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-durazno/	INAC-14	Uruguay Meats exporter card No. 14: Frigorífico durazno	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-14
auto-uruguay-meats-exporters-frigorifico-san-jacinto-1usvf2n	Frigorífico San Jacinto	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-san-jacinto/	INAC-344	Uruguay Meats exporter card No. 344: Frigorífico San Jacinto	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-344
auto-uruguay-meats-exporters-frigorifico-modelo-1xdfek0	Frigorifico Modelo S.A	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-modelo-s-a/	INAC-20	Uruguay Meats exporter card No. 20: Frigorifico Modelo S.A	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-20
auto-uruguay-meats-exporters-solis-meat-uruguay-11ix2t2	Solís Meat Uruguay	Uruguay		exporter	official_list	https://uymeats.com/product/solis-meat-uruguay/	INAC-150	Uruguay Meats exporter card No. 150: Solís Meat Uruguay	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-150
auto-uruguay-meats-exporters-frigorifico-las-moras-k9hgtl	Frigorífico Las Moras	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-las-moras/	INAC-104	Uruguay Meats exporter card No. 104: Frigorífico Las Moras	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-104
auto-uruguay-meats-exporters-frigorifico-canelones-4ewacm	Frigorifico Canelones S.A	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-canelones-s-a/	INAC-8	Uruguay Meats exporter card No. 8: Frigorifico Canelones S.A	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-8
auto-uruguay-meats-exporters-marfrig-global-foods-1d5mz2c	Marfrig Global Foods	Uruguay		exporter	official_list	https://uymeats.com/product/marfrig-global-foods/	INAC-12	Uruguay Meats exporter card No. 12: Marfrig Global Foods	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-12
